Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-07-28,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-07-28,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-07-28,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-07-28,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-07-29,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-07-29,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-07-29,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-07-29,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-07-29,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-07-29,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-07-30,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-07-30,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-07-30,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-07-30,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-07-30,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-07-30,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-07-30,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-07-30,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-07-31,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-07-31,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-07-31,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-07-31,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-07-19,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-07-19,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-07-22,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-07-22,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-07-26,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-07-26,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-07-29,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-07-29,Departure,MLH,Basel,11:00,Wizz Air,W6
