Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2026-01-17,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-17,Departure,FMM,Memmingen,12:05,Wizz Air,W6
2026-01-17,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2026-01-17,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2026-01-17,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2026-01-17,Departure,MMX,Malmö-Sturup,16:25,Wizz Air,W6
2026-01-17,Arrival,MMX,Malmö-Sturup,21:30,Wizz Air,W6
2026-01-18,Departure,DTM,Dortmund,06:15,Wizz Air,W6
2026-01-18,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-18,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-18,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-18,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2026-01-18,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2026-01-18,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2026-01-18,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2026-01-19,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
2026-01-19,Arrival,CGN,Köln Bonn,11:00,Wizz Air,W6
2026-01-19,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2026-01-19,Arrival,FMM,Memmingen,15:30,Wizz Air,W6
2026-01-19,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2026-01-19,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2026-01-19,Departure,MST,Maastricht,16:40,Wizz Air,W6
2026-01-19,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2026-01-20,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-20,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-20,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-20,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-20,Departure,MMX,Malmö-Sturup,16:25,Wizz Air,W6
2026-01-20,Arrival,MMX,Malmö-Sturup,21:30,Wizz Air,W6
2026-01-22,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-22,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-22,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2026-01-22,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2026-01-23,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
2026-01-23,Arrival,CGN,Köln Bonn,11:00,Wizz Air,W6
2026-01-23,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2026-01-23,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2026-01-23,Departure,MST,Maastricht,16:40,Wizz Air,W6
2026-01-23,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2026-01-24,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-24,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-24,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-24,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-24,Departure,FMM,Memmingen,12:05,Wizz Air,W6
2026-01-24,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2026-01-24,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2026-01-24,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2026-01-24,Departure,MMX,Malmö-Sturup,16:25,Wizz Air,W6
2026-01-24,Arrival,MMX,Malmö-Sturup,21:30,Wizz Air,W6
2026-01-25,Departure,DTM,Dortmund,06:15,Wizz Air,W6
2026-01-25,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-25,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-25,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-25,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2026-01-25,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2026-01-25,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2026-01-25,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2026-01-26,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
2026-01-26,Arrival,CGN,Köln Bonn,11:00,Wizz Air,W6
2026-01-26,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2026-01-26,Arrival,FMM,Memmingen,15:30,Wizz Air,W6
2026-01-26,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2026-01-26,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2026-01-26,Departure,MST,Maastricht,16:40,Wizz Air,W6
2026-01-26,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2026-01-27,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-27,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-27,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-27,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-27,Departure,MMX,Malmö-Sturup,16:25,Wizz Air,W6
2026-01-27,Arrival,MMX,Malmö-Sturup,21:30,Wizz Air,W6
2026-01-29,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-29,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-29,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2026-01-29,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2026-01-30,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
2026-01-30,Arrival,CGN,Köln Bonn,11:00,Wizz Air,W6
2026-01-30,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2026-01-30,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2026-01-30,Departure,MST,Maastricht,16:40,Wizz Air,W6
2026-01-30,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2026-01-31,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-31,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-31,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-31,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-31,Departure,FMM,Memmingen,12:05,Wizz Air,W6
2026-01-31,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2026-01-31,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2026-01-31,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2026-01-31,Departure,MMX,Malmö-Sturup,16:25,Wizz Air,W6
2026-01-31,Arrival,MMX,Malmö-Sturup,21:30,Wizz Air,W6
