Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-12-27,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-27,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2025-12-27,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-27,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-27,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2025-12-27,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2025-12-27,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2025-12-27,Departure,FMM,Memmingen,11:50,Wizz Air,W6
2025-12-27,Arrival,MMX,Malmö,21:30,Wizz Air,W6
2025-12-27,Departure,MMX,Malmö,16:25,Wizz Air,W6
2025-12-28,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-28,Departure,DTM,Dortmund,06:15,Wizz Air,W6
2025-12-28,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-28,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-28,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2025-12-28,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2025-12-28,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2025-12-28,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2025-12-29,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-29,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-29,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-12-29,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-12-29,Arrival,FMM,Memmingen,15:30,Wizz Air,W6
2025-12-29,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2025-12-29,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-29,Departure,MST,Maastricht,16:40,Wizz Air,W6
2025-12-30,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-30,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2025-12-30,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-30,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-30,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2025-12-30,Departure,FMM,Memmingen,12:05,Wizz Air,W6
2025-12-30,Arrival,MMX,Malmö,21:30,Wizz Air,W6
2025-12-30,Departure,MMX,Malmö,16:25,Wizz Air,W6
2025-12-31,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-31,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-31,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-31,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-31,Arrival,FMM,Memmingen,15:25,Wizz Air,W6
2025-12-31,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2025-12-31,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-31,Departure,MST,Maastricht,16:40,Wizz Air,W6
